application_number,product_number,chemical_name,dosage
ANDA076806,001,DEFEROXAMINE MESYLATE,500MG
ANDA076806,002,DEFEROXAMINE MESYLATE,2GM
ANDA076826,001,LEVOFLOXACIN,0.5%
ANDA076841,001,MESALAMINE,4GM
ANDA076850,001,TERCONAZOLE,80MG
ANDA076856,002,DANTROLENE SODIUM,50MG
ANDA076856,003,DANTROLENE SODIUM,100MG
ANDA076856,001,DANTROLENE SODIUM,25MG
ANDA076866,006,OLANZAPINE,20MG
ANDA076866,004,OLANZAPINE,10MG
ANDA076866,002,OLANZAPINE,5MG
ANDA076866,005,OLANZAPINE,15MG
ANDA076866,003,OLANZAPINE,7.5MG
ANDA076866,001,OLANZAPINE,2.5MG
ANDA076875,003,GLIMEPIRIDE,4MG
ANDA076875,001,GLIMEPIRIDE,1MG
ANDA076875,004,GLIMEPIRIDE,8MG
ANDA076875,002,GLIMEPIRIDE,2MG
ANDA076884,001,ALCLOMETASONE DIPROPIONATE,0.05%
ANDA076898,003,CELECOXIB,200MG
ANDA076898,001,CELECOXIB,50MG
ANDA076898,004,CELECOXIB,400MG
ANDA076898,002,CELECOXIB,100MG
ANDA076963,001,PILOCARPINE HYDROCHLORIDE,5MG
ANDA076963,002,PILOCARPINE HYDROCHLORIDE,7.5MG
ANDA076980,002,HYDROCHLOROTHIAZIDE,25MG
ANDA076980,002,MOEXIPRIL HYDROCHLORIDE,15MG
ANDA076980,003,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076980,003,MOEXIPRIL HYDROCHLORIDE,15MG
ANDA076980,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076980,001,MOEXIPRIL HYDROCHLORIDE,7.5MG
ANDA076985,001,METFORMIN HYDROCHLORIDE,750MG
ANDA077001,001,HALOBETASOL PROPIONATE,0.05%
ANDA077002,002,DIGOXIN,0.125MG
ANDA077002,001,DIGOXIN,0.25MG
NDA006927,001,CROTAMITON,10%
NDA017518,001,PENTETATE CALCIUM TRISODIUM YB-169,2mCi
ANDA077030,002,CILOSTAZOL,100MG
ANDA077030,001,CILOSTAZOL,50MG
ANDA077066,001,NITROFURANTOIN,75MG
ANDA077066,001,MACROCRYSTALLINE,25MG
ANDA077071,002,FLUMAZENIL,1MG
ANDA077071,001,FLUMAZENIL,0.5MG
ANDA077078,001,METFORMIN HYDROCHLORIDE,750MG
ANDA077124,001,METFORMIN HYDROCHLORIDE,500MG
ANDA077159,003,IRBESARTAN,300MG
ANDA077159,001,IRBESARTAN,75MG
ANDA077159,002,IRBESARTAN,150MG
ANDA077197,001,METRONIDAZOLE,0.75%
ANDA077212,001,DESMOPRESSIN ACETATE,0.01%
ANDA077219,002,IRINOTECAN HYDROCHLORIDE,100MG
ANDA077219,001,IRINOTECAN HYDROCHLORIDE,40MG
ANDA077264,001,METRONIDAZOLE,0.75%
ANDA077288,001,ZOLPIDEM TARTRATE,5MG
ANDA077288,002,ZOLPIDEM TARTRATE,10MG
NDA017555,002,CARBIDOPA,25MG
NDA017555,002,LEVODOPA,250MG
NDA017555,003,CARBIDOPA,25MG
NDA017555,003,LEVODOPA,100MG
NDA017555,001,CARBIDOPA,10MG
NDA017555,001,LEVODOPA,100MG
ANDA077309,001,ACYCLOVIR,400MG
ANDA077309,002,ACYCLOVIR,800MG
ANDA077318,002,CETIRIZINE HYDROCHLORIDE,10MG
ANDA077318,001,CETIRIZINE HYDROCHLORIDE,5MG
ANDA077335,001,FINASTERIDE,1MG
ANDA077399,001,LEVOCARNITINE,1GM
NDA017565,001,ETHINYL ESTRADIOL,0.035MG
NDA017565,001,NORETHINDRONE,1MG
NDA017565,002,ETHINYL ESTRADIOL,0.035MG
NDA017565,002,NORETHINDRONE,1MG
ANDA077467,002,NATEGLINIDE,120MG
ANDA077467,001,NATEGLINIDE,60MG
ANDA077505,001,ZALEPLON,5MG
ANDA077505,002,ZALEPLON,10MG
ANDA077519,001,BUDESONIDE,0.25MG
ANDA077519,002,BUDESONIDE,0.5MG
NDA017579,002,TRETINOIN,0.025%
ANDA077555,002,TIAGABINE HYDROCHLORIDE,4MG
ANDA077555,001,TIAGABINE HYDROCHLORIDE,2MG
ANDA077559,001,IPRATROPIUM BROMIDE,0.017%
ANDA078040,003,RISPERIDONE,1MG
ANDA077610,001,AMIODARONE HYDROCHLORIDE,50MG
ANDA077616,003,SOTALOL HYDROCHLORIDE,160MG
ANDA077616,001,SOTALOL HYDROCHLORIDE,80MG
ANDA077616,002,SOTALOL HYDROCHLORIDE,120MG
ANDA077620,002,GLIPIZIDE,2.5MG
ANDA077620,002,METFORMIN HYDROCHLORIDE,500MG
ANDA077620,003,GLIPIZIDE,5MG
ANDA077620,003,METFORMIN HYDROCHLORIDE,500MG
ANDA077620,001,GLIPIZIDE,2.5MG
ANDA077620,001,METFORMIN HYDROCHLORIDE,250MG
ANDA077639,002,ZONISAMIDE,50MG
ANDA077639,003,ZONISAMIDE,100MG
ANDA077639,001,ZONISAMIDE,25MG
ANDA077647,002,ZONISAMIDE,50MG
ANDA077647,003,ZONISAMIDE,100MG
ANDA077647,001,ZONISAMIDE,25MG
ANDA077652,003,LEVOFLOXACIN,750MG
ANDA077652,001,LEVOFLOXACIN,250MG
ANDA077652,002,LEVOFLOXACIN,500MG
ANDA077667,001,MODAFINIL,100MG
ANDA077667,002,MODAFINIL,200MG
NDA017605,001,XYLOSE,25GM
ANDA077691,004,SIMVASTATIN,40MG
ANDA077691,002,SIMVASTATIN,10MG
ANDA077691,005,SIMVASTATIN,80MG
ANDA077691,003,SIMVASTATIN,20MG
ANDA077691,001,SIMVASTATIN,5MG
ANDA077695,001,LAMIVUDINE,10MG
ANDA077733,003,TOPIRAMATE,100MG
ANDA077733,001,TOPIRAMATE,25MG
ANDA077733,004,TOPIRAMATE,200MG
ANDA077733,002,TOPIRAMATE,50MG
ANDA077783,004,LAMOTRIGINE,200MG
ANDA077783,002,LAMOTRIGINE,100MG
ANDA077783,003,LAMOTRIGINE,150MG
ANDA077783,001,LAMOTRIGINE,25MG
ANDA077789,001,CHLORHEXIDINE GLUCONATE,0.12%
ANDA077794,002,OXCARBAZEPINE,300MG
ANDA077794,003,OXCARBAZEPINE,600MG
ANDA077794,001,OXCARBAZEPINE,150MG
ANDA077809,002,CIPROFLOXACIN,212.6MG
ANDA077809,001,CIPROFLOXACIN,425.2MG
ANDA077829,003,CETIRIZINE HYDROCHLORIDE,5MG
ANDA077829,001,CETIRIZINE HYDROCHLORIDE,5MG
ANDA077829,004,CETIRIZINE HYDROCHLORIDE,10MG
ANDA077829,002,CETIRIZINE HYDROCHLORIDE,10MG
ANDA077831,002,CILOSTAZOL,50MG
ANDA077831,001,CILOSTAZOL,100MG
ANDA077868,002,TOPIRAMATE,25MG
ANDA077868,001,TOPIRAMATE,15MG
NDA017636,001,MANNITOL,540MG
NDA017636,001,SORBITOL,2.7GM
ANDA077882,002,MELOXICAM,15MG
ANDA077882,001,MELOXICAM,7.5MG
ANDA077890,004,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA077890,002,BENAZEPRIL HYDROCHLORIDE,10MG
ANDA077890,003,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA077890,001,BENAZEPRIL HYDROCHLORIDE,10MG
ANDA077900,004,RAMIPRIL,10MG
ANDA077900,002,RAMIPRIL,2.5MG
ANDA077900,003,RAMIPRIL,5MG
ANDA077900,001,RAMIPRIL,1.25MG
ANDA077911,002,GLIMEPIRIDE,2MG
ANDA077911,003,GLIMEPIRIDE,4MG
ANDA077911,001,GLIMEPIRIDE,1MG
ANDA077944,001,MELOXICAM,7.5MG
ANDA077944,002,MELOXICAM,15MG
ANDA077947,001,FLUCONAZOLE,200MG
ANDA077947,002,FLUCONAZOLE,400MG
ANDA077948,003,HYDROCHLOROTHIAZIDE,12.5MG
ANDA077948,003,LOSARTAN POTASSIUM,100MG
ANDA077948,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA077948,001,LOSARTAN POTASSIUM,50MG
ANDA077948,002,HYDROCHLOROTHIAZIDE,25MG
ANDA077948,002,LOSARTAN POTASSIUM,100MG
ANDA077953,006,RISPERIDONE,4MG
ANDA077953,004,RISPERIDONE,2MG
ANDA077953,002,RISPERIDONE,0.5MG
ANDA077953,005,RISPERIDONE,3MG
ANDA077953,003,RISPERIDONE,1MG
ANDA077953,001,RISPERIDONE,0.25MG
ANDA077968,004,ALPRAZOLAM,0.5MG
ANDA077968,002,ALPRAZOLAM,2MG
ANDA077968,003,ALPRAZOLAM,1MG
ANDA077968,001,ALPRAZOLAM,3MG
ANDA077973,001,BICALUTAMIDE,50MG
ANDA077975,002,DONEPEZIL HYDROCHLORIDE,5MG
ANDA077975,001,DONEPEZIL HYDROCHLORIDE,10MG
ANDA077996,003,ALPRAZOLAM,2MG
ANDA077996,001,ALPRAZOLAM,0.5MG
ANDA077996,004,ALPRAZOLAM,3MG
ANDA077996,002,ALPRAZOLAM,1MG
ANDA078008,001,MELOXICAM,7.5MG
ANDA078008,002,MELOXICAM,15MG
ANDA078012,001,GEMFIBROZIL,600MG
ANDA078040,006,RISPERIDONE,4MG
ANDA078040,004,RISPERIDONE,2MG
ANDA078040,002,RISPERIDONE,0.5MG
ANDA078040,005,RISPERIDONE,3MG
ANDA078040,001,RISPERIDONE,0.25MG
NDA017659,001,METAPROTERENOL SULFATE,5%
ANDA078079,001,CICLOPIROX,8%
ANDA078084,001,METRONIDAZOLE,500MG
ANDA078088,004,ALPRAZOLAM,2MG
ANDA078088,002,ALPRAZOLAM,0.5MG
ANDA078088,003,ALPRAZOLAM,1MG
ANDA078088,001,ALPRAZOLAM,0.25MG
ANDA078128,001,ZIDOVUDINE,100MG
ANDA078144,001,CICLOPIROX,8%
ANDA078223,001,CLOBETASOL PROPIONATE,0.05%
NDA017687,003,XENON XE-133,20mCi
NDA017687,001,XENON XE-133,10mCi
NDA017687,002,XENON XE-133,10mCi
ANDA078234,003,LEVETIRACETAM,750MG
ANDA078234,001,LEVETIRACETAM,250MG
ANDA078234,002,LEVETIRACETAM,500MG
ANDA078235,004,TOPIRAMATE,200MG
ANDA078235,002,TOPIRAMATE,50MG
ANDA078235,003,TOPIRAMATE,100MG
ANDA078235,001,TOPIRAMATE,25MG
ANDA078247,001,BUTORPHANOL TARTRATE,2MG
ANDA078285,001,BICALUTAMIDE,50MG
ANDA078292,003,DRONABINOL,10MG
ANDA078292,001,DRONABINOL,2.5MG
ANDA078292,002,DRONABINOL,5MG
ANDA078365,001,DESLORATADINE,5MG
ANDA078384,001,CARVEDILOL,3.125MG
ANDA078384,004,CARVEDILOL,25MG
ANDA078384,002,CARVEDILOL,6.25MG
ANDA078384,003,CARVEDILOL,12.5MG
ANDA078394,001,IBUPROFEN,400MG
ANDA078394,001,OXYCODONE HYDROCHLORIDE,5MG
ANDA078404,002,BUDESONIDE,0.5MG
ANDA078404,001,BUDESONIDE,0.25MG
ANDA078422,003,METFORMIN HYDROCHLORIDE,1GM
ANDA078422,001,METFORMIN HYDROCHLORIDE,500MG
ANDA078422,002,METFORMIN HYDROCHLORIDE,850MG
ANDA078442,004,ALPRAZOLAM,3MG
ANDA078442,002,ALPRAZOLAM,1MG
ANDA078442,003,ALPRAZOLAM,2MG
ANDA078442,001,ALPRAZOLAM,0.5MG
ANDA078478,003,TORSEMIDE,20MG
ANDA078478,001,TORSEMIDE,5MG
ANDA078478,004,TORSEMIDE,100MG
ANDA078478,002,TORSEMIDE,10MG
ANDA078488,001,CETIRIZINE HYDROCHLORIDE,5MG
ANDA078509,001,EFAVIRENZ,600MG
ANDA078526,002,LEVETIRACETAM,500MG
ANDA078526,003,LEVETIRACETAM,750MG
ANDA078526,001,LEVETIRACETAM,250MG
ANDA078545,002,LAMIVUDINE,300MG
ANDA078545,001,LAMIVUDINE,150MG
ANDA078559,001,OFLOXACIN,0.3%
NDA017756,001,ACETAMINOPHEN,650MG
NDA017756,002,ACETAMINOPHEN,120MG
ANDA078583,003,ARIPIPRAZOLE,10MG
ANDA078583,001,ARIPIPRAZOLE,2MG
ANDA078583,006,ARIPIPRAZOLE,30MG
ANDA078583,004,ARIPIPRAZOLE,15MG
ANDA078583,002,ARIPIPRAZOLE,5MG
ANDA078583,005,ARIPIPRAZOLE,20MG
ANDA078608,001,ARIPIPRAZOLE,10MG
ANDA078643,001,CYCLOBENZAPRINE HYDROCHLORIDE,5MG
ANDA078643,002,CYCLOBENZAPRINE HYDROCHLORIDE,10MG
ANDA078648,001,DEXBROMPHENIRAMINE MALEATE,6MG
ANDA078648,001,PSEUDOEPHEDRINE SULFATE,120MG
ANDA078657,001,DESOXIMETASONE,0.25%
ANDA078668,001,SULFACETAMIDE SODIUM,10%
ANDA078703,004,PROPRANOLOL HYDROCHLORIDE,160MG
ANDA078703,002,PROPRANOLOL HYDROCHLORIDE,80MG
ANDA078703,003,PROPRANOLOL HYDROCHLORIDE,120MG
ANDA078703,001,PROPRANOLOL HYDROCHLORIDE,60MG
ANDA078707,006,RISPERIDONE,4MG
ANDA078707,004,RISPERIDONE,2MG
ANDA078707,002,RISPERIDONE,0.5MG
ANDA078707,005,RISPERIDONE,3MG
ANDA078707,003,RISPERIDONE,1MG
ANDA078707,001,RISPERIDONE,0.25MG
ANDA078720,001,AMANTADINE HYDROCHLORIDE,100MG
ANDA078780,004,CETIRIZINE HYDROCHLORIDE,10MG
ANDA078780,002,CETIRIZINE HYDROCHLORIDE,10MG
ANDA078780,003,CETIRIZINE HYDROCHLORIDE,5MG
ANDA078780,001,CETIRIZINE HYDROCHLORIDE,5MG
ANDA078801,001,TAMSULOSIN HYDROCHLORIDE,0.4MG
ANDA078815,001,OXALIPLATIN,50MG
ANDA078815,002,OXALIPLATIN,100MG
NDA007413,001,PROTAMINE SULFATE,50MG
NDA007413,002,PROTAMINE SULFATE,250MG
ANDA078845,001,LINEZOLID,600MG
ANDA078848,004,BENAZEPRIL HYDROCHLORIDE,40MG
ANDA078848,002,BENAZEPRIL HYDROCHLORIDE,10MG
ANDA078848,003,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA078848,001,BENAZEPRIL HYDROCHLORIDE,5MG
ANDA078857,003,CELECOXIB,200MG
ANDA078857,001,CELECOXIB,50MG
ANDA078857,004,CELECOXIB,400MG
ANDA078857,002,CELECOXIB,100MG
ANDA078866,002,BUPROPION HYDROCHLORIDE,150MG
ANDA078866,003,BUPROPION HYDROCHLORIDE,200MG
ANDA078866,001,BUPROPION HYDROCHLORIDE,100MG
NDA017818,001,HALCINONIDE,0.025%
ANDA078935,001,TRAMADOL HYDROCHLORIDE,50MG
ANDA083526,001,FOLIC ACID,1MG
ANDA078975,001,CICLOPIROX,8%
ANDA078992,003,DEXMETHYLPHENIDATE HYDROCHLORIDE,15MG
ANDA078992,001,DEXMETHYLPHENIDATE HYDROCHLORIDE,5MG
ANDA078992,006,DEXMETHYLPHENIDATE HYDROCHLORIDE,40MG
ANDA078992,004,DEXMETHYLPHENIDATE HYDROCHLORIDE,30MG
ANDA078992,002,DEXMETHYLPHENIDATE HYDROCHLORIDE,10MG
ANDA078992,005,DEXMETHYLPHENIDATE HYDROCHLORIDE,20MG
ANDA079033,001,FOMEPIZOLE,1.5GM
BLA017835,002,ALBUMIN CHROMATED CR-51 SERUM,250uCi
BLA017835,003,ALBUMIN CHROMATED CR-51 SERUM,500uCi
BLA017835,001,ALBUMIN CHROMATED CR-51 SERUM,100uCi
ANDA079054,001,ALFUZOSIN HYDROCHLORIDE,10MG
ANDA079065,001,METRONIDAZOLE,375MG
ANDA079081,001,LAMIVUDINE,150MG
ANDA079081,001,ZIDOVUDINE,300MG
ANDA079088,005,RISPERIDONE,3MG
ANDA079088,003,RISPERIDONE,1MG
ANDA079088,001,RISPERIDONE,0.25MG
ANDA079088,006,RISPERIDONE,4MG
ANDA079088,004,RISPERIDONE,2MG
ANDA079088,002,RISPERIDONE,0.5MG
ANDA079111,001,RIBAVIRIN,200MG
ANDA079112,006,FEXOFENADINE HYDROCHLORIDE,180MG
ANDA079112,004,FEXOFENADINE HYDROCHLORIDE,60MG
ANDA079112,002,FEXOFENADINE HYDROCHLORIDE,30MG
ANDA079112,005,FEXOFENADINE HYDROCHLORIDE,180MG
ANDA079112,003,FEXOFENADINE HYDROCHLORIDE,60MG
ANDA079112,001,FEXOFENADINE HYDROCHLORIDE,30MG
ANDA079118,001,METFORMIN HYDROCHLORIDE,500MG
ANDA079118,002,METFORMIN HYDROCHLORIDE,750MG
ANDA079204,002,LAMOTRIGINE,25MG
ANDA079204,001,LAMOTRIGINE,5MG
NDA017863,001,SORBITOL,3GM
ANDA079227,001,ALCLOMETASONE DIPROPIONATE,0.05%
ANDA079234,001,TORSEMIDE,5MG
ANDA079234,004,TORSEMIDE,100MG
ANDA079234,002,TORSEMIDE,10MG
ANDA079234,003,TORSEMIDE,20MG
ANDA079245,002,FOSINOPRIL SODIUM,20MG
ANDA079245,002,HYDROCHLOROTHIAZIDE,12.5MG
ANDA079245,001,FOSINOPRIL SODIUM,10MG
ANDA079245,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA079246,001,LAMIVUDINE,300MG
ANDA079247,001,ANHYDROUS,0.398GM
ANDA079247,001,MONOHYDRATE,1.102GM
ANDA080015,001,PROPYLTHIOURACIL,50MG
ANDA080017,002,NITROFURANTOIN,100MG
ANDA080017,001,NITROFURANTOIN,50MG
ANDA080044,002,ASPIRIN,389MG
ANDA080044,002,CAFFEINE,32.4MG
ANDA080044,002,PROPOXYPHENE HYDROCHLORIDE,65MG
ANDA080078,001,NITROFURANTOIN,100MG
ANDA080078,002,NITROFURANTOIN,50MG
ANDA080086,001,TRISULFAPYRIMIDINES,167MG
ANDA080086,001,SULFAMERAZINE,167MG
ANDA080086,001,SULFAMETHAZINE),167MG
ANDA080097,001,AMINOSALICYLATE SODIUM,100%
ANDA080153,001,ISONIAZID,100MG
ANDA080211,001,PREDNISOLONE,5MG
ANDA080221,001,POTASSIUM CHLORIDE,2MEQ
ANDA080248,001,NAPHAZOLINE HYDROCHLORIDE,0.1%
ANDA080259,001,PHENYTOIN SODIUM,100MG
ANDA080308,001,METHYLTESTOSTERONE,10MG
ANDA080326,001,PREDNISOLONE,5MG
ANDA080330,002,ISONIAZID,300MG
ANDA080358,003,PREDNISOLONE,5MG
ANDA080358,001,PREDNISOLONE,1MG
ANDA080358,002,PREDNISOLONE,2.5MG
ANDA080368,001,ISONIAZID,50MG
ANDA080368,002,ISONIAZID,100MG
ANDA088191,001,LINDANE,1%
ANDA080387,001,MEPERIDINE HYDROCHLORIDE,50MG
ANDA080397,001,PREDNISONE,5MG
ANDA080454,001,MEPERIDINE HYDROCHLORIDE,50MG
ANDA080456,002,HYDROCORTISONE,0.5%
ANDA080456,003,HYDROCORTISONE,1%
ANDA080481,002,HYDROCORTISONE,1%
ANDA080481,001,HYDROCORTISONE,0.5%
ANDA080509,001,THIAMINE HYDROCHLORIDE,100MG
NDA007600,005,THIAMYLAL SODIUM,5GM
NDA007600,003,THIAMYLAL SODIUM,1GM
NDA007600,009,THIAMYLAL SODIUM,10GM
ANDA080554,002,CYANOCOBALAMIN,1MG
ANDA080554,001,CYANOCOBALAMIN,0.1MG
ANDA080572,001,PYRIDOXINE HYDROCHLORIDE,100MG
ANDA080573,002,CYANOCOBALAMIN,0.1MG
ANDA080573,001,CYANOCOBALAMIN,1MG
ANDA080600,001,FOLIC ACID,1MG
ANDA080615,001,DIMENHYDRINATE,50MG
ANDA080635,001,DIPHENHYDRAMINE HYDROCHLORIDE,50MG
ANDA080696,001,CHLORPHENIRAMINE MALEATE,4MG
ANDA080741,001,TESTOSTERONE PROPIONATE,25MG
ANDA080750,004,TRIAMCINOLONE ACETONIDE,0.1%
ANDA080750,003,TRIAMCINOLONE ACETONIDE,0.1%
ANDA080785,001,TRIPELENNAMINE HYDROCHLORIDE,50MG
ANDA080817,002,DIPHENHYDRAMINE HYDROCHLORIDE,50MG
ANDA080821,001,CHLORPHENIRAMINE MALEATE,10MG
ANDA080839,001,METHYLTESTOSTERONE,10MG
ANDA080931,001,METHYLTESTOSTERONE,25MG
ANDA080947,001,AMINOSALICYLATE SODIUM,4GM
ANDA080961,001,CHLORPHENIRAMINE MALEATE,4MG
ANDA081149,001,HYDROXYZINE HYDROCHLORIDE,10MG
ANDA081216,001,ESTROPIPATE,6MG
ANDA081223,001,ACETAMINOPHEN,650MG
ANDA081223,001,HYDROCODONE BITARTRATE,10MG
ANDA081225,001,FLUOROURACIL,50MG
ANDA081240,001,MEDROXYPROGESTERONE ACETATE,5MG
ANDA081306,001,ETHOSUXIMIDE,250MG
ANDA083002,001,DIETHYLSTILBESTROL,1MG
NDA017994,001,DIFLORASONE DIACETATE,0.05%
ANDA083128,001,HYDROCORTISONE ACETATE,25MG
ANDA083149,001,TRIPELENNAMINE HYDROCHLORIDE,25MG
ANDA083184,001,PROPOXYPHENE HYDROCHLORIDE,65MG
